id,url,headline,author,date
0,https://www.theverge.com/2023/3/27/23658352/ev-battery-deep-sea-mining,The race for more battery materials could cause “irreversible” damage under the sea,Justine Calma,2023-03-27
1,https://www.theverge.com/2023/3/28/23660059/tears-of-the-kingdom-open-world-potential-nintendo-switch,"Tears of the Kingdom is going to ruin our lives, and I’m here for it",Ash Parrish,2023-03-28
2,https://www.theverge.com/23660621/sony-alpha-zve1-mirrorless-camera-announcement-specs-price-video-review,The new Sony ZV-E1 camera is designed for full-frame vlog life,Antonio G. Di Benedetto,2023-03-29
3,https://www.theverge.com/2023/3/27/23659351/elon-musk-twitter-for-you-verified-accounts-polls,Elon Musk says Twitter’s For You page will only recommend verified accounts,Jay Peters,2023-03-28
4,https://www.theverge.com/23651323/new-york-times-ceo-meredith-kopit-levien-wordle-the-athletic-sports-cooking,"How to play the long game, with New York Times CEO Meredith Kopit Levien",Nilay Patel,2023-03-23
5,https://www.theverge.com/2023/3/29/23661374/elon-musk-ai-researchers-pause-research-open-letter,Elon Musk and top AI researchers call for pause on ‘giant AI experiments’,James Vincent,2023-03-29
6,https://www.theverge.com/23653141/tiktok-ban-bytedance-congress-hearing-first-amendment-open-internet,The TikTok ban is a betrayal of the open internet,Adi Robertson,2023-03-27
7,https://www.theverge.com/2023/3/28/23660653/google-search-results-perspectives-carousel-about-this-page-author,Google is going to show a new “Perspectives” carousel in search results,Jay Peters,2023-03-28
8,https://www.theverge.com/23658648/mastodon-ceo-twitter-interview-elon-musk-twitter,Can Mastodon seize the moment from Twitter?,Nilay Patel,2023-03-28
9,https://www.theverge.com/2023/3/28/23660291/twitter-replies-update-confusing,Tweet replies no longer show who users are replying to,Jay Peters,2023-03-28
10,https://www.theverge.com/2023/3/28/23659267/kia-ev9-full-size-suv-pics-specs-battery-range-lidar-adas,"Kia sees an opening to dominate the full-size electric SUV segment with its big, boxy EV9",Andrew J. Hawkins,2023-03-28
11,https://www.theverge.com/2023/3/28/23659868/amazon-returns-warning-product-reviews-tag-feature,Amazon will flag frequently returned products to avoid buying,Jess Weatherbed,2023-03-28
12,https://www.theverge.com/23652417/amazfit-band-7-review-budget-fitness-tracker,Amazfit Band 7 review: where did all the budget trackers go?,Victoria Song,2023-03-25
13,https://www.theverge.com/2023/3/28/23659191/amazon-sidewalk-network-coverage,Amazon has just opened up its Sidewalk network and it’s gigantic,Jennifer Pattison Tuohy,2023-03-28
14,https://www.theverge.com/23656561/sonos-era-100-speaker-review-features,Sonos Era 100 review: the new default smart speaker,Chris Welch,2023-03-27
15,https://www.theverge.com/2022/6/8/23157184/ugly-economics-behind-apple-buy-now-pay-later-system-bnpl,The ugly economics behind Apple’s new Pay Later system,Emma Roth,2022-06-08
16,https://www.theverge.com/23660625/gmail-inbox-unsubscribe-refresh-delete-reject,We need Eternal Sunshine of the Spotless Mind for Gmail,Allison Johnson,2023-03-29
17,https://www.theverge.com/2023/3/28/23660742/paramount-plus-star-trek-lower-decks-season-5-strange-new-worlds-3,Paramount Plus has renewed Star Trek: Lower Decks and Star Trek: Strange New Worlds,Charles Pulliam-Moore,2023-03-28
18,https://www.theverge.com/23660400/oura-ring-covid-19-illness-detection-biometrics-heart-rate-sleep,Oura study shows covid-19 can impact your biometrics for weeks after infection,Victoria Song,2023-03-29
19,https://www.theverge.com/2023/3/27/23658863/arc-browser-iphone-ios-companion-app-mac,"Arc is coming to iPhone, but it won’t replace Safari yet, says CEO",Mitchell Clark,2023-03-27
20,https://www.theverge.com/23654936/aqara-g4-video-doorbell-review,Aqara’s Video Doorbell G4 can make your front door sing,Jennifer Pattison Tuohy,2023-03-27
21,https://www.theverge.com/2023/3/28/23655421/lenovo-slim-pro-9i-7-7i-announcement,Lenovo targets the MacBook with updated Slim Pro laptop line,Monica Chin,2023-03-28
22,https://www.theverge.com/23661537/asteroid-city-trailer-wes-anderson,Asteroid City’s first trailer is the most Wes Anderson thing you’ll see today,Charles Pulliam-Moore,2023-03-29
23,https://www.theverge.com/2023/3/28/23660473/substack-retail-investors-revenue-profit,How much money do we think Substack lost last year?,Elizabeth Lopatto,2023-03-28
24,https://www.theverge.com/2023/3/28/23660480/apple-cwa-fired-workers-allegations-unionization,Union accuses Apple of firing workers in retaliation for organizing,Mitchell Clark,2023-03-29
25,https://www.theverge.com/2023/3/28/23660427/new-x-files-series-ryan-coogler-chris-carter,There might be new X-Files from Black Panther director Ryan Coogler,Alex Cranz,2023-03-28
26,https://www.theverge.com/2023/3/28/23660076/sam-bankman-fried-accused-bribe-chinese-officials-ftx,Sam Bankman-Fried accused of sending a $40 million crypto bribe to Chinese officials,Emma Roth,2023-03-28
27,https://www.theverge.com/2023/3/28/23660409/tesla-seatbelt-model-x-nhtsa-investigation,Tesla Model X seat belt failures spur a new federal investigation,Umar Shakir,2023-03-28
28,https://www.theverge.com/2017/3/11/14881076/the-legend-of-zelda-breath-of-the-wild-nintendo-interview,A chat with the directors of The Legend of Zelda: Breath of the Wild,Andrew Webster,2017-03-11
29,https://www.theverge.com/2023/3/29/23661380/mark-hamill-ukrainian-air-raid-alerts-star-wars-voiceover,Mark Hamill voices Star Wars-inspired Ukrainian air raid alerts,Jess Weatherbed,2023-03-29
30,https://www.theverge.com/2023/3/28/23660721/lucid-ev-layoffs-1300-18-percent-workers,Lucid’s laying off 18 percent of its workers,Mitchell Clark,2023-03-28
31,https://www.theverge.com/2023/3/28/23660289/spotify-niche-mix-personalized-playlist-music-algorithm,Spotify’s Niche Mixes are weirdly specific personalized playlists,Jess Weatherbed,2023-03-28
32,https://www.theverge.com/2023/3/28/23658646/nasa-venus-funding-scientist-reaction-volcano-veritas,Scientists erupt at NASA gutting funding for crucial Venus mission,Georgina Torbet,2023-03-28
33,https://www.theverge.com/2023/3/29/23661352/last-of-us-part-i-pc-launch-bugs-issues,The Last of Us on PC is a rare disappointing PlayStation port at launch,Tom Warren,2023-03-29
34,https://www.theverge.com/23657335/sonos-era-300-review-spatial-audio-atmos-speaker,Sonos Era 300 review: too ahead of its time,Chris Welch,2023-03-27
35,https://www.theverge.com/2023/3/29/23660375/journaling-app-day-one-security-personal-space,"My impossible search for the best, most powerful, most private journaling app ever",David Pierce,2023-03-29
36,https://www.theverge.com/2023/3/28/23660005/e-fuels-internal-combustion-engine-car-european-union-2035-climate-deadline,E-fuels could keep combustion engine cars on the road in the EU past its 2035 climate deadline,Justine Calma,2023-03-28
37,https://www.theverge.com/2023/3/27/23657938/microsoft-teams-overhaul-performance-improvements-ui-design-changes-features,The new Microsoft Teams is here with big performance improvements and UI changes,Tom Warren,2023-03-27
38,https://www.theverge.com/2023/3/29/23661431/wikipedia-wikimedia-sound-logo,Prepare your ears for Wikipedia’s ‘sound of all human knowledge’,Jon Porter,2023-03-29
39,https://www.theverge.com/2023/3/28/23660202/starbucks-notification-test1-seank,You’re not the only one who just got a Starbucks test notification,Mitchell Clark,2023-03-28
40,https://www.theverge.com/2023/3/29/23660577/google-search-heat-alerts,Google plans to share heat alerts in search,Justine Calma,2023-03-29
41,https://www.theverge.com/2023/3/29/23661484/lamborghini-revuelto-plug-in-hybrid-aventador,Lamborghini’s first plug-in hypercar is the Aventador-replacing Revuelto,Andrew J. Hawkins,2023-03-29
42,https://www.theverge.com/2023/3/29/23661377/insta360-flow-smartphone-gimbal-selfie-stick-tripod-stabilization-tracking,The Insta360 Flow is a phone gimbal with all the trimmings,Jon Porter,2023-03-29
43,https://www.theverge.com/2023/3/28/23660538/google-partnership-adt-self-setup-diy-home-security,ADT’s latest DIY security system integrates with Google Nest products,Jennifer Pattison Tuohy,2023-03-28
44,https://www.theverge.com/2023/3/28/23659883/titmouse-5-second-night-2023,Titmouse’s 5 Second Night animation showcase is back with a vengeance,Charles Pulliam-Moore,2023-03-28
45,https://www.theverge.com/23658631/kitchen-cooking-coffee-gadgets-favorite-tech,The Verge’s 13 favorite kitchen tools,Barbara Krasnoff,2023-03-29
46,https://www.theverge.com/2023/3/28/23659492/fortnite-creator-economy-2-0-epic-games-catch,Fortnite’s generous new creator economy has an Epic catch,Jay Peters,2023-03-28
47,https://www.theverge.com/2023/3/28/23660623/adnan-syed-murder-conviction-reinstated-serial,Adnan Syed’s murder conviction has been reinstated,Emma Roth,2023-03-28
48,https://www.theverge.com/2023/3/28/23660573/npr-layoff-podcast-adnan-syed-serial-apple-update-slate-youtube-amy-poehler,NPR prioritizes radio over podcasts with steep cuts,Ariel Shapiro,2023-03-28
49,https://www.theverge.com/23613289/best-games-movie-tv-entertainment-2023,The best entertainment of 2023,Andrew Webster,2023-02-24
50,https://www.theverge.com/2023/3/28/23660101/ai-competition-ftc-doj-lina-khan-jonathan-kanter-antitrust-summit,The US government is gearing up for an AI antitrust fight,Adi Robertson,2023-03-28
51,https://www.theverge.com/23660204/nintendo-switch-oled-zelda-tears-of-the-kingdom-edition-preorder-release-date-price,Here’s where you can preorder Nintendo’s Zelda-inspired Switch OLED,Sheena Vasani,2023-03-28
